cle_interop,uid_adresse,numero,suffixe,pseudo_numero,voie_code,code_postal,libelle_acheminement,destination_principale,commune_code,commune_nom,source,long,lat,x,y,position,date_der_maj,Type de voie,Nom de voie,Valeur fonciere,Surface reelle bati,Date mutation,vf_square_meter_price
75101_7619_00018,,18,,False,7619,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3445637,48.8604294,651912.27,6862465.68,entr��e,2018-10-30,rue,pont neuf,"907000,00",36.0,17/02/2017,25194.444444444445
75101_1193_00033,,33,,False,1193,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3451263,48.8600732,651953.22,6862425.73,entr��e,2018-10-30,rue,bourdonnais,"950000,00",96.0,06/09/2017,9895.833333333334
75101_1193_00033_bis,,33,bis,False,1193,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3449215875,48.86022460625,651938.34,6862442.69,parcelle,2018-10-30,rue,bourdonnais,"950000,00",96.0,06/09/2017,9895.833333333334
75101_7619_00020,,20,,False,7619,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3446556,48.8605466,651919.12,6862478.66,entr��e,2018-10-30,rue,pont neuf,"250000,00",24.0,17/11/2017,10416.666666666666
75101_1193_00043,,43,,False,1193,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3456206,48.8606243,651989.99,6862486.71,entr��e,2018-10-30,rue,bourdonnais,"1900000,00",40.0,10/07/2017,47500.0
75101_8525_00051,,51,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3486386,48.8610278,652211.78,6862529.74,entr��e,2018-10-30,rue,st-denis,"120000,00",23.0,07/12/2017,5217.391304347826
75101_2357_00009,,9,,False,2357,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3484435,48.8614229,652197.83,6862573.79,entr��e,2018-10-30,rue,cossonnerie,"210000,00",62.0,18/10/2017,3387.0967741935483
75101_2357_00008,,8,,False,2357,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3485902999999997,48.8615644,652208.73,6862589.44,entr��e,2018-10-30,rue,cossonnerie,"500,00",0.0,28/07/2017,inf
75101_8525_00073,,73,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.348999,48.861613399999996,652238.76,6862594.64,entr��e,2018-10-30,rue,st-denis,"725000,00",70.0,31/05/2017,10357.142857142857
75101_8009_00081,,81,,False,8009,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3489974,48.86217360000001,652239.15,6862656.93,entr��e,2018-10-30,rue,rambuteau,"180000,00",17.0,21/03/2017,10588.235294117647
75101_8009_00077,,77,,False,8009,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3496511000000004,48.8620255,652286.98,6862640.07,entr��e,2018-10-30,rue,rambuteau,"327850,00",32.0,25/04/2017,10245.3125
75101_8525_00072,,72,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3492502999999996,48.86172020000001,652257.29,6862606.36,entr��e,2018-10-30,rue,st-denis,"570000,00",40.0,22/11/2017,14250.0
75101_8894_00045,,45,,False,8894,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3497084999999998,48.861588899999994,652290.79,6862591.49,entr��e,2018-10-30,bd,s��bastopol,"226162,31",50.0,27/11/2017,4523.2462
75101_8525_00068,,68,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3492002999999997,48.8616238,652253.53,6862595.67,entr��e,2018-10-30,rue,st-denis,"550000,00",62.0,23/05/2017,8870.967741935483
75101_8894_00043,,43,,False,8894,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3496327,48.861454200000004,652285.1,6862576.55,entr��e,2018-10-30,bd,s��bastopol,"280000,00",39.0,04/05/2017,7179.48717948718
75101_2357_00003,,3,,False,2357,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3492221,48.8612375,652254.78,6862552.71,entr��e,2018-10-30,rue,cossonnerie,"1257000,00",40.0,13/10/2017,31425.0
75101_8894_00039,,39,,False,8894,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3494375,48.861108,652270.46,6862538.18,entr��e,2018-10-30,bd,s��bastopol,"360000,00",27.0,27/11/2017,13333.333333333334
75101_8894_00037,,37,,False,8894,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3493774,48.861001,652265.96,6862526.32,entr��e,2018-10-30,bd,s��bastopol,"325000,00",36.0,20/12/2017,9027.777777777777
75101_8525_00079,,79,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3490876,48.8617896,652245.42,6862614.18,entr��e,2018-10-30,rue,st-denis,"100000,00",18.0,07/12/2017,5555.555555555556
75101_6513_00026,,26,,False,6513,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3455442000000004,48.8642251,651987.71,6862887.13,entr��e,2018-10-30,rue,montmartre,"163000,00",73.0,15/06/2017,2232.876712328767
75101_6513_00018,,18,,False,6513,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3456725,48.8639929,651996.9,6862861.24,entr��e,2018-10-30,rue,montmartre,"681300,00",51.0,03/08/2017,13358.823529411764
75101_6513_00016,,16,,False,6513,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3457036,48.863928200000004,651999.13,6862854.02,entr��e,2018-10-30,rue,montmartre,"240000,00",26.0,26/01/2017,9230.76923076923
75101_6520_00027,,27,,False,6520,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3465347000000003,48.864234,652060.38,6862887.52,entr��e,2018-10-30,rue,montorgueil,"584600,00",58.0,28/04/2017,10079.310344827587
75101_3392_00029,,29,,False,3392,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3471611,48.8642013,652106.3,6862883.51,entr��e,2018-10-30,rue,etienne marcel,"130000,00",17.0,20/02/2017,7647.058823529412
75101_3392_00027,,27,,False,3392,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3473759,48.86415039999999,652122.01,6862877.72,entr��e,2018-10-30,rue,etienne marcel,"300000,00",80.0,28/12/2017,3750.0
75101_6520_00036_a,,36,A,False,6520,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3466862999999996,48.8639674,652071.25,6862857.79,entr��e,2018-10-30,rue,montorgueil,"5600,00",50.0,21/04/2017,112.0
75101_6520_00032,,32,,False,6520,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3465436,48.8638396,652060.67,6862843.66,entr��e,2018-10-30,rue,montorgueil,"192500,00",15.0,03/10/2017,12833.333333333334
75101_6520_00026,,26,,False,6520,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3465085,48.863633,652057.9,6862820.71,entr��e,2018-10-30,rue,montorgueil,"405000,00",35.0,28/12/2017,11571.42857142857
75101_9504_00005,,5,,False,9504,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3476932,48.863654,652144.83,6862822.33,entr��e,2018-10-30,rue,turbigo,"1480000,00",125.0,10/07/2017,11840.0
75101_7455_00021,,21,,False,7455,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3488736,48.8634953,652231.28,6862803.97,entr��e,2018-10-30,rue,pierre lescot,"125450,00",30.0,01/03/2017,4181.666666666667
75101_9504_00012,,12,,False,9504,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3485404,48.8636385,652206.97,6862820.09,entr��e,2018-10-30,rue,turbigo,"165000,00",0.0,26/04/2017,inf
75101_4278_00012,,12,,False,4278,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3490964,48.862829999999995,652247.02,6862729.86,entr��e,2018-10-30,rue,grande truanderie,"190000,00",20.0,21/07/2017,9500.0
75101_4278_00010,,10,,False,4278,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.349198,48.8628036,652254.45,6862726.86,entr��e,2018-10-30,rue,grande truanderie,"800000,00",103.0,28/03/2017,7766.9902912621355
75101_8525_00127,,127,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3496904,48.863167499999996,652290.9,6862767.02,entr��e,2018-10-30,rue,st-denis,"277000,00",25.0,06/10/2017,11080.0
75101_2502_00008,,8,,False,2502,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3493315,48.8632452,652264.65,6862775.88,entr��e,2018-10-30,rue,cygne,"213000,00",22.0,18/12/2017,9681.818181818182
75101_8525_00129,,129,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3497225,48.8632167,652293.3,6862772.47,entr��e,2018-10-30,rue,st-denis,"567788,00",40.0,14/09/2017,14194.7
75101_8525_00131,,131,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3497345000000003,48.86330220000001,652294.26,6862781.97,entr��e,2018-10-30,rue,st-denis,"1500000,00",241.0,08/11/2017,6224.066390041494
75101_3392_00005,,5,,False,3392,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3502352,48.8634633,652331.14,6862799.59,entr��e,2018-10-30,rue,etienne marcel,"260000,00",66.0,18/12/2017,3939.3939393939395
75101_8525_00098,,98,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3499524,48.8632924,652310.24,6862780.75,entr��e,2018-10-30,rue,st-denis,"2700000,00",165.0,06/10/2017,16363.636363636364
