Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
730;49 RUE DE LA CHAPELLE;75018;Paris;2006;ADOMA;39;39;0;0;0;construction neuve;;18;résidence sociale pour démuni;653013.2699;6866195.781;"{""type"": ""Point"", ""coordinates"": [2.359157035207198, 48.89405449736943]}";48.8940544974, 2.35915703521
365;41 BIS QUAI DE LA LOIRE - 157 RUE DE CRIMEE;75019;Paris;2004;LOG.FR.;165;0;0;0;165;acquisition réhabilitation;;19;résidence pour étudiants;654463.2113;6865467.72;"{""type"": ""Point"", ""coordinates"": [2.379009769013683, 48.88761148797874]}";48.887611488, 2.37900976901
368;VIGNOLES EST  3, PASSAGE SAVART;75020;Paris;2004;PARIS HAB;3;0;3;0;0;construction neuve;;20;logement familial;656221.1187;6861831.269;"{""type"": ""Point"", ""coordinates"": [2.40335631770977, 48.85503142042842]}";48.8550314204, 2.40335631771
373;87 - 89 RUE DAMREMONT  BAT D4;75018;Paris;2004;HAINAUT;56;6;50;0;0;acquisition conventionnement;;18;logement familial;651342.5661;6866191.476;"{""type"": ""Point"", ""coordinates"": [2.336372175762087, 48.893891682415976]}";48.8938916824, 2.33637217576
376;88, RUE MYRHA;75018;Paris;2004;RIVP;10;0;0;0;10;acquisition réhabilitation;;18;logement familial;652239.1613;6865362.937;"{""type"": ""Point"", ""coordinates"": [2.348693282504603, 48.88650807764643]}";48.8865080776, 2.3486932825
387;38-46 RUE DES MARAICHERS 1-13 RUE PHILIDOR;75020;Paris;2004;LOGIS.TR.;37;0;0;0;37;construction neuve;;20;logement familial;656522.6582;6861327.45;"{""type"": ""Point"", ""coordinates"": [2.407517235541313, 48.85052100266064]}";48.8505210027, 2.40751723554
411;POLE CHANZY 30 RUE DE CHANZY;75011;Paris;2004;PARIS HAB;19;4;15;0;0;construction neuve;;11;logement familial;654910.7745;6861582.288;"{""type"": ""Point"", ""coordinates"": [2.385525311853042, 48.85270197080529]}";48.8527019708, 2.38552531185
415;15-23, AVENUE CLAUDE REGAUD / 49 BOUTROUX / 8 - 16 BEDIER / 6 YERSIN;75013;Paris;2004;PARIS HAB;15;0;15;0;0;construction neuve;;13;logement familial;653939.4653;6858105.613;"{""type"": ""Point"", ""coordinates"": [2.372665302171635, 48.821367235929316]}";48.8213672359, 2.37266530217
417;PLANCHAT VIGNOLES 1 26-28, RUE TERRE NEUVE 11-37, RUE DES VIGNOLES 7;75020;Paris;2004;PARIS HAB;10;0;10;0;0;acquisition réhabilitation;;20;logement familial;655866.4084;6861664.651;"{""type"": ""Point"", ""coordinates"": [2.398539604888649, 48.853508829140935]}";48.8535088291, 2.39853960489
418;7 RUE DURANTI;75011;Paris;2004;RIVP;82;0;41;0;41;acquisition conventionnement;;11;logement familial;654831.3307;6862492.842;"{""type"": ""Point"", ""coordinates"": [2.38434594934493, 48.860884958340435]}";48.8608849583, 2.38434594934
422;30, RUE AFFRE (HS);75018;Paris;2004;PARIS HAB;5;0;5;0;0;acquisition réhabilitation;;18;logement familial;652742.7195;6865425.246;"{""type"": ""Point"", ""coordinates"": [2.355552981871666, 48.88710555650287]}";48.8871055565, 2.35555298187
426;153 RUE CHAMPIONNET  BAT D1;75018;Paris;2004;SADIF;42;4;38;0;0;acquisition réhabilitation;;18;logement familial;651363.1765;6866317.929;"{""type"": ""Point"", ""coordinates"": [2.336638774646776, 48.895030378889764]}";48.8950303789, 2.33663877465
429;LOT 4 - 5BIS-10, IMPASSE ROBERT 3 IMP CALMELS 16 IMP GR. BOUTEILLE;75018;Paris;2004;SIEMP;19;0;0;0;19;construction neuve;;18;logement familial;651509.1658;6866241.57;"{""type"": ""Point"", ""coordinates"": [2.338638562966105, 48.89435472691656]}";48.8943547269, 2.33863856297
431;3 RUE DU HELDER;75009;Paris;2004;SEMIDEP;17;4;13;0;0;acquisition réhabilitation;;9;logement familial;651201.5694;6863700.326;"{""type"": ""Point"", ""coordinates"": [2.334735489784893, 48.871478902167674]}";48.8714789022, 2.33473548978
454;181 AV JEAN JAURES;75019;Paris;2005;SIEMP;10;0;5;0;5;acquisition réhabilitation;;19;logement familial;655175.9141;6865483.434;"{""type"": ""Point"", ""coordinates"": [2.388726925771262, 48.887802809267406]}";48.8878028093, 2.38872692577
455;66-70, RUE CROZATIER 2-10, PASSAGE BRULON 39- 41, RUE DE CITEAUX;75012;Paris;2005;SAGI;12;0;0;0;12;construction neuve;;12;logement familial;654466.8723;6861257.905;"{""type"": ""Point"", ""coordinates"": [2.379510810197151, 48.84975358391031]}";48.8497535839, 2.3795108102
